0,Mediterranean Avenue,0,60,2,10,30,90,160,250,50,FALSE,FALSE
1,Baltic Avenue,0,60,4,20,60,180,320,450,50,FALSE,FALSE
2,Reading Railroad,-1,200,-1,25,50,100,200,-1,-1,FALSE,TRUE
3,Oriental Avenue,1,100,6,30,90,270,400,550,50,FALSE,FALSE
4,Vermont Avenue,1,100,6,30,90,270,400,550,50,FALSE,FALSE
5,Connecticut Avenue,1,120,8,40,100,300,450,600,50,FALSE,FALSE
6,St. Charles Place,2,140,10,50,150,450,625,750,100,FALSE,FALSE
7,Electric Company,-1,150,-1,4,10,-1,-1,-1,-1,TRUE,FALSE
8,States Avenue,2,140,10,50,150,450,625,750,100,FALSE,FALSE
9,Virginia Avenue,2,160,12,60,180,500,700,900,100,FALSE,FALSE
10,Pennsylvania Railroad,-1,200,-1,25,50,100,200,-1,-1,FALSE,TRUE
11,St. James Place,3,180,14,70,200,550,750,950,100,FALSE,FALSE
12,Tennessee Avenue,3,180,14,70,200,550,750,950,100,FALSE,FALSE
13,New York Avenue,3,200,16,80,220,600,800,1000,100,FALSE,FALSE
14,Kentucky Avenue,4,220,18,90,250,700,875,1050,150,FALSE,FALSE
15,Indiana Avenue,4,220,18,90,250,700,875,1050,150,FALSE,FALSE
16,Illinois Avenue,4,240,20,100,300,750,925,1100,150,FALSE,FALSE
17,B. & O. Railroad,-1,200,-1,25,50,100,200,-1,-1,FALSE,TRUE
18,Atlantic Avenue,5,260,22,110,330,800,975,1150,150,FALSE,FALSE
19,Ventnor Avenue,5,260,22,110,330,800,975,1150,150,FALSE,FALSE
20,Water Works,-1,150,-1,4,10,-1,-1,-1,-1,TRUE,FALSE
21,Marvin Gardens,5,280,24,120,360,850,1025,1200,150,FALSE,FALSE
22,Pacific Avenue,6,300,26,130,390,900,1100,1275,200,FALSE,FALSE
23,North Carolina Avenue,6,300,26,130,390,900,1100,1275,200,FALSE,FALSE
24,Pennsylvania Avenue,6,320,28,150,450,1000,1200,1400,200,FALSE,FALSE
25,Short Line,-1,200,-1,25,50,100,200,-1,-1,FALSE,TRUE
26,Park Place,7,350,35,175,500,1100,1300,1500,200,FALSE,FALSE
27,Boardwalk,7,400,50,200,600,1400,1700,2000,200,FALSE,FALSE
