0,Go,-1,FALSE,FALSE,FALSE
1,Mediterranean Avenue,1,FALSE,FALSE,FALSE
2,Community Chest,-1,TRUE,FALSE,FALSE
3,Baltic Avenue,2,FALSE,FALSE,FALSE
4,Income Tax,-1,FALSE,FALSE,TRUE
5,Reading Railroad,3,FALSE,FALSE,FALSE
6,Oriental Avenue,4,FALSE,FALSE,FALSE
7,Chance,-1,FALSE,TRUE,FALSE
8,Vermont Avenue,5,FALSE,FALSE,FALSE
9,Connecticut Avenue,6,FALSE,FALSE,FALSE
10,Jail,-1,FALSE,FALSE,FALSE
11,St. Charles Place,7,FALSE,FALSE,FALSE
12,Electric Company,8,FALSE,FALSE,FALSE
13,States Avenue,9,FALSE,FALSE,FALSE
14,Virginia Avenue,10,FALSE,FALSE,FALSE
15,Pennsylvania Railroad,11,FALSE,FALSE,FALSE
16,St. James Place,12,FALSE,FALSE,FALSE
17,Community Chest,-1,TRUE,FALSE,FALSE
18,Tennessee Avenue,13,FALSE,FALSE,FALSE
19,New York Avenue,14,FALSE,FALSE,FALSE
20,Free Parking,-1,FALSE,FALSE,FALSE
21,Kentucky Avenue,15,FALSE,FALSE,FALSE
22,Chance,-1,FALSE,TRUE,FALSE
23,Indiana Avenue,16,FALSE,FALSE,FALSE
24,Illinois Avenue,17,FALSE,FALSE,FALSE
25,B. & O. Railroad,18,FALSE,FALSE,FALSE
26,Atlantic Avenue,19,FALSE,FALSE,FALSE
27,Ventnor Avenue,20,FALSE,FALSE,FALSE
28,Water Works,21,FALSE,FALSE,FALSE
29,Marvin Gardens,22,FALSE,FALSE,FALSE
30,Go To Jail,-1,FALSE,FALSE,FALSE
31,Pacific Avenue,23,FALSE,FALSE,FALSE
32,North Carolina Avenue,24,FALSE,FALSE,FALSE
33,Community Chest,-1,TRUE,FALSE,FALSE
34,Pennsylvania Avenue,25,FALSE,FALSE,FALSE
35,Short Line,26,FALSE,FALSE,FALSE
36,Chance,-1,FALSE,TRUE,FALSE
37,Park Place,27,FALSE,FALSE,FALSE
38,Luxury Tax,-1,FALSE,FALSE,TRUE
39,Boardwalk,28,FALSE,FALSE,FALSE
